County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1974,1974,3,2,1.67,,,,,,,
421,1974,1974,3,3,0.32,,,,,,,
421,1974,1974,3,7,0.01,,,,,,,
421,1974,1974,3,8,1.04,,,,,,,
421,1974,1974,3,21,0.06,,,,,,,
421,1974,1974,3,26,0.21,,,,,,,
421,1974,1974,3,27,0.57,,,,,,,
421,1974,1974,3,28,0.07,,,,,,,
421,1974,1974,3,29,0.27,,,,,,,
421,1974,1974,4,1,0.50,,,,,,,
421,1974,1974,4,2,1.50,,,,,,,
421,1974,1974,4,8,0.01,,,,,,,
421,1974,1974,4,9,0.02,,,,,,,
421,1974,1974,4,24,0.23,,,,,,,
421,1974,1974,4,25,0.03,,,,,,,
421,1974,1974,5,22,0.22,,,,,,,
421,1975,1974,10,8,0.15,,,,,,,
421,1975,1974,10,28,0.87,,,,,,,
421,1975,1974,10,29,0.89,,,,,,,
421,1975,1974,11,2,0.20,,,,,,,
421,1975,1974,11,22,0.40,,,,,,,
421,1975,1974,12,4,3.75,,,,,,,
421,1975,1974,12,28,1.60,,,,,,,
421,1975,1975,1,7,0.02,,,,,,,
421,1975,1975,1,8,0.11,,,,,,,
421,1975,1975,1,31,0.02,,,,,,,
421,1975,1975,2,1,0.18,,,,,,,
421,1975,1975,2,2,0.50,,,,,,,
421,1975,1975,2,3,2.27,,,,,,,
421,1975,1975,2,4,0.31,,,,,,,
421,1975,1975,2,5,0.68,,,,,,,
421,1975,1975,2,9,0.40,,,,,,,
